Name,Variety_Code,Crop_Type,Days_to_Maturity,Days_to_Transplant,Direct_Sow,Succession_Interval,Description
"Early Nantes",VCA411,Carrot,60,21,No,21,"Early Nantes 2                                                  £4.05              £7.50              £13.90                        £20.45 £37.80         £70.00                      VCA385 Autumn King 2"
"Saint Valery",VCA415,Carrot,60,21,No,21,"Saint Valery                                                                                                          £17.05     £39.40       £72.90"
"Early Nantes",VCA412,Carrot,60,21,No,21,"Early Nantes 2                                             variety, with good storage ability."
"Autumn King",VCA387,Carrot,60,21,No,21,"Autumn King 2"
"Early Nantes",VOG170,Carrot,60,21,No,21,"Early Nantes 2                                                £2.75     £5.10      £9.45                                                                                              VOG157 Autumn King 2"
Darina,VCA391,Carrot,60,21,No,21,"Darina                                           10g        25g          50g"
"Paris Market Atlas",VCA423,Carrot,60,21,No,21,"Paris Market Atlas                                                                                                               with a medium-blunt to blunt tip."
"Early Forcing",VCA400,Carrot,60,21,No,21,"Early Forcing                                              Bunching, Ware"
"Early Forcing, Early,",VCA409,Carrot,60,21,No,21,"Early Forcing, Early, 2nd Early                                      Bunching, Ware"
Rothild,VOG180,Carrot,60,21,No,21,Rothild
"Early,",VCA423,Carrot,60,21,No,21,"Early, 2nd Early, Maincrop                                          Round Carrots                High yielding quality Autumn King"
"Early,",VCA417,Carrot,60,21,No,21,"Early, 2nd Early, Maincrop                                           Baby Carrots                type with very good flavour and"
Maincrop,VCA415,Carrot,60,21,No,21,"Maincrop                                           Bunching, Ware, Showing"
Maincrop,VCA420,Carrot,60,21,No,21,"Maincrop                                          Bunching, Processing, Ware           market and juicing."
Maincrop,VCA391,Carrot,60,21,No,21,"Maincrop                                          Bunching, Ware, Processing               10g        25g        50g"
organic,VOG180,Carrot,60,21,No,21,"organic option                        Maincrop, Late                                              Ware, Processing                  100g       250g       500g"
Romanesco,,Cauliflower,60,21,No,21,"Romanesco types are increasing"
"F1 Boris",VCA530,Cauliflower,60,21,No,21,"F1 Boris"
"F1 Freedom",VCA435,Cauliflower,60,21,No,21,"F1 Freedom"
"F1 Bodilis",VCA468,Cauliflower,60,21,No,21,"F1 Bodilis"
"F1 Nautilus",VCA488,Cauliflower,60,21,No,21,"F1 Nautilus (not shown)"
